L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.6109984,1.219147,-0.1128494,-0.1729038,-0.1786077,-0.09001428,12.03466,9.983802,2.253212,2.390141
L,-0.6183184,1.214961,-0.1170304,-0.474507,-0.2713665,-0.2710236,-19.5508,-6.012902,-11.73356,2.405567
L,-0.6228102,1.211395,-0.1198856,-0.1738007,-0.1379659,-0.1104765,11.63518,5.161651,6.212024,2.431412
L,-0.6282664,1.203859,-0.124111,-0.3469068,-0.4791262,-0.268653,-11.00624,-21.69128,-10.057,2.44714
L,-0.6283823,1.196949,-0.126389,-0.004438532,-0.2645684,-0.08721543,13.11173,8.214554,6.946512,2.473259
L,-0.6311337,1.188614,-0.1314536,-0.1779546,-0.5390837,-0.3275747,-11.22285,-17.75538,-15.5462,2.48872
L,-0.6335169,1.185405,-0.1345585,-0.09060914,-0.1219951,-0.1180452,3.320825,15.85747,7.96619,2.515022
L,-0.6404295,1.177126,-0.1397158,-0.4671549,-0.5595192,-0.3485334,-25.44707,-29.56801,-15.57646,2.529819
L,-0.6441067,1.17253,-0.142637,-0.1371807,-0.1714503,-0.1089781,12.30977,14.47701,8.936669,2.556625
L,-0.6437742,1.168721,-0.1464667,0.0218954,-0.2507534,-0.252115,10.47234,-5.220701,-9.423022,2.571815
L,-0.6445498,1.165813,-0.1489305,-0.02922445,-0.1095636,-0.09282368,-1.925951,5.319352,6.00133,2.598358
L,-0.6506143,1.160531,-0.1500465,-0.3952674,-0.3442706,-0.07273861,-23.85777,-15.29762,1.309095,2.613701
L,-0.6528802,1.156051,-0.1501488,-0.08719677,-0.1724163,-0.003936642,11.85538,6.613412,2.647684,2.639687
L,-0.6542155,1.14338,-0.1506799,-0.08861551,-0.8409256,-0.03524426,-0.09415546,-44.366,-2.077748,2.654755
L,-0.6540189,1.135741,-0.1511323,0.01352116,-0.5255578,-0.03113004,7.027432,21.69864,0.2830756,2.669289
L,-0.6544054,1.129217,-0.1518512,-0.01474267,-0.2489175,-0.02742789,-1.078328,10.55444,0.1412455,2.695499
L,-0.6549464,1.128991,-0.1532674,-0.03510115,-0.01463128,-0.09186986,-1.320676,15.1984,-4.18042,2.710915
L,-0.6554622,1.127953,-0.1541186,-0.01976365,-0.03978768,-0.03261756,0.5877261,-0.9639817,2.270521,2.737011
L,-0.6554558,1.12718,-0.1541864,0.0004172386,-0.05055996,-0.004432673,1.320264,-0.7047389,1.843898,2.752296
L,-0.6554035,1.126324,-0.1545104,0.001978761,-0.03238587,-0.01225175,0.0590428,0.6871812,-0.2956477,2.778744
L,-0.6550446,1.122642,-0.1550081,0.02405874,-0.2467559,-0.03336043,1.479963,-14.36866,-1.414859,2.793663
L,-0.6546756,1.119596,-0.1551182,0.01368984,-0.1130131,-0.004084284,-0.3847339,4.962474,1.08628,2.820614
L,-0.6566659,1.117673,-0.1562867,-0.1373388,-0.1327405,-0.08062977,-10.42149,-1.36126,-5.281901,2.835106
L,-0.6578367,1.116208,-0.1570372,-0.08006946,-0.1001663,-0.05132851,3.916725,2.227794,2.003952,2.849728
