L/R,p_x,p_y,p_z,v_x,v_y,v_z,a_x,a_y,a_z,t
L,-0.6408021,1.187904,-0.1473037,-0.1102419,-0.2904542,0.02123526,-2.433423,-3.345355,0.1007495,1.994934
L,-0.6397492,1.18674,-0.1484379,0.07597888,-0.08399566,-0.08184201,13.43701,14.89729,-7.437679,2.008793
L,-0.6392038,1.185091,-0.1493734,0.04164543,-0.1259103,-0.0714276,-2.621703,-3.200602,0.7952451,2.021889
L,-0.6389734,1.185423,-0.1488822,0.01663654,0.02399277,0.03546832,-1.806041,10.8254,7.719594,2.035736
L,-0.6385633,1.185953,-0.1475747,0.02895654,0.03738554,0.09231185,0.8698127,0.9455518,4.013248,2.0499
L,-0.6367411,1.187235,-0.1468553,0.1347452,0.09481664,0.05319773,7.822813,4.246888,-2.892393,2.063423
L,-0.6352292,1.188018,-0.1461905,0.1068024,0.0552917,0.04696131,-1.973874,-2.792031,-0.4405384,2.077579
L,-0.6341757,1.188314,-0.1456584,0.07645522,0.02149951,0.03862018,-2.202473,-2.452497,-0.6053649,2.091358
L,-0.6326619,1.189713,-0.1465329,0.1095605,0.1012303,-0.06329592,2.39601,5.770556,-7.376227,2.105175
L,-0.6313877,1.190713,-0.1473126,0.08850855,0.0694472,-0.05415859,-1.462279,-2.207672,0.6346831,2.119572
L,-0.6300977,1.192698,-0.1471646,0.09346496,0.1438467,0.01072329,0.3591197,5.390655,4.70105,2.133373
L,-0.6290776,1.194157,-0.1470341,0.07488711,0.1071391,0.009581306,-1.363784,-2.694675,-0.08383226,2.146996
L,-0.6283123,1.195154,-0.1469295,0.05490131,0.07148844,0.00750248,-1.433815,-2.557637,-0.1491384,2.160934
L,-0.6259687,1.199463,-0.1464059,0.1688771,0.3104986,0.03772999,8.212776,17.22239,2.178109,2.174812
L,-0.6240096,1.202952,-0.14596,0.1337402,0.2381673,0.03044332,-2.398679,-4.937813,-0.497437,2.189461
L,-0.616677,1.212278,-0.1428713,0.5566717,0.7080166,0.2344836,32.10801,35.6699,15.49028,2.202633
